merk,model,tahun,jarak_tempuh,transmisi,bahan_bakar,cc,harga
Toyota,Avanza,2020,45000,Manual,Petrol,1500,185000000
Honda,Civic,2019,30000,Automatic,Petrol,1800,350000000
Mitsubishi,Pajero Sport,2021,25000,Automatic,Diesel,2400,485000000
Suzuki,Ertiga,2018,60000,Manual,Petrol,1500,165000000
Daihatsu,Xenia,2020,50000,Manual,Petrol,1300,155000000
Toyota,Fortuner,2022,15000,Automatic,Diesel,2800,595000000
Honda,CR-V,2020,35000,Automatic,Petrol,2000,485000000
Mitsubishi,Xpander,2021,28000,Manual,Petrol,1500,245000000
Toyota,Innova,2019,55000,Manual,Diesel,2400,285000000
Honda,Brio,2020,40000,Manual,Petrol,1200,145000000
